Date,Close,Net,PerctChg,Open,Low,High,Volume,O-C,H-L,PercentCVol
2019-01-29 16:00,7027.41,-3.548,-0.0005,7030.98,7019.17,7035.59,70572084,-3.571,16.42,1.8524
2019-01-29 15:30,7030.96,10.445,0.0015,7020.51,7018.02,7032.02,24740957,10.445,13.997,0.248
2019-01-29 15:00,7020.51,-13.437,-0.0019,7033.92,7020.04,7037.88,19824916,-13.405,17.834,0.046
2019-01-29 14:30,7033.95,-14.391,-0.002,7048.34,7032.6,7048.4,18952404,-14.391,15.791,0.0613
2019-01-29 14:00,7048.34,7.183,0.001,7041.16,7036.92,7049.48,17858187,7.183,12.56,-0.0124
2019-01-29 13:30,7041.16,-0.2,0,7041.36,7033.76,7041.47,18082332,-0.2,7.712,-0.008
2019-01-29 13:00,7041.36,-3.278,-0.0005,7044.63,7038.12,7047.89,18228783,-3.278,9.778,-0.1248
2019-01-29 12:30,7044.63,11.708,0.0017,7032.91,7028.24,7050.25,20828297,11.726,22.001,-0.0124
2019-01-29 12:00,7032.93,7.915,0.0011,7025.17,7025.17,7036.76,21088956,7.76,11.591,-0.1741
2019-01-29 11:30,7025.01,7.483,0.0011,7017.21,7012.93,7030.86,25533228,7.801,17.932,-0.2812
2019-01-29 11:00,7017.53,-52.288,-0.0074,7070.83,7011.47,7073.39,35521471,-53.298,61.92,-0.0969
2019-01-29 10:30,7069.82,-4.46,-0.0006,7074.39,7056.19,7087.31,39331685,-4.573,31.124,-0.4723
2019-01-29 10:00,7074.28,-11.41,-0.0016,7087.49,7063.92,7092.29,74530231,-13.218,28.37,1665.262
2019-01-28 20:30,7085.69,0,0,7085.69,7085.69,7085.69,44729,0,0,-0.5913
2019-01-28 20:00,7085.69,0,0,7085.69,7085.69,7085.69,109437,0,0,-0.1908
2019-01-28 19:30,7085.69,0,0,7085.69,7085.69,7085.69,135243,0,0,0.9276
2019-01-28 19:00,7085.69,0,0,7085.69,7085.69,7085.69,70161,0,0,-0.1777
2019-01-28 18:30,7085.69,0,0,7085.69,7085.69,7085.69,85325,0,0,-0.3285
2019-01-28 18:00,7085.69,0,0,7085.69,7085.69,7085.69,127064,0,0,-0.4122
2019-01-28 17:30,7085.69,0,0,7085.69,7085.69,7085.69,216174,0,0,-0.3472
2019-01-28 17:00,7085.69,0,0,7085.69,7085.69,7085.69,331165,0,0,-0.9967
2019-01-28 16:30,7085.69,-0.311,0,7086.03,7085.69,7086.03,101585341,-0.344,0.344,0.3468
2019-01-28 16:00,7086,5.074,0.0007,7080.91,7069.98,7086,75429560,5.087,16.021,1.918
2019-01-28 15:30,7080.92,1.416,0.0002,7079.51,7073.21,7086.3,25849789,1.416,13.092,0.0987
2019-01-28 15:00,7079.51,14.125,0.002,7065.35,7065.35,7084.22,23527273,14.157,18.867,-0.0399
2019-01-28 14:30,7065.38,-8.134,-0.0012,7073.52,7061.63,7077.46,24505966,-8.134,15.832,-0.0571
2019-01-28 14:00,7073.52,8.367,0.0012,7065.15,7065.14,7080.46,25990679,8.367,15.324,0.1469
2019-01-28 13:30,7065.15,11.817,0.0017,7053.33,7048.81,7070.5,22662041,11.817,21.688,-0.1482
2019-01-28 13:00,7053.33,-6.188,-0.0009,7059.52,7052.11,7063.33,26604845,-6.188,11.221,0.0393
2019-01-28 12:30,7059.52,19.781,0.0028,7039.74,7034.25,7060.27,25599207,19.781,26.017,-0.2236
2019-01-28 12:00,7039.74,-31.781,-0.0045,7071.52,7038.67,7076.63,32971832,-31.781,37.956,0.0863
2019-01-28 11:30,7071.52,7.745,0.0011,7063.54,7055.23,7077.73,30351729,7.984,22.497,-0.0846
2019-01-28 11:00,7063.77,-13.142,-0.0019,7076.64,7063.77,7081.85,33155427,-12.864,18.075,-0.2104
2019-01-28 10:30,7076.92,22.106,0.0031,7054.87,7043.18,7077.8,41989799,22.049,34.621,-0.5437
2019-01-28 10:00,7054.81,-110.054,-0.0154,7075.01,7038.2,7077.04,92023214,-20.199,38.841,16767.0784
2019-01-25 20:30,7164.86,0,0,7164.86,7164.86,7164.86,5488,0,0,-0.8597
2019-01-25 20:00,7164.86,0,0,7164.86,7164.86,7164.86,39112,0,0,0.5556
2019-01-25 19:30,7164.86,0,0,7164.86,7164.86,7164.86,25142,0,0,0.0157
2019-01-25 19:00,7164.86,0,0,7164.86,7164.86,7164.86,24753,0,0,-0.6316
2019-01-25 18:30,7164.86,0,0,7164.86,7164.86,7164.86,67198,0,0,0.0155
2019-01-25 18:00,7164.86,0,0,7164.86,7164.86,7164.86,66174,0,0,0.1548
2019-01-25 17:30,7164.86,0,0,7164.86,7164.86,7164.86,57303,0,0,-0.2323
2019-01-25 17:00,7164.86,0,0,7164.86,7164.86,7164.86,74640,0,0,-0.9993
2019-01-25 16:30,7164.86,3.288,0.0005,7164.91,7164.86,7164.91,105552815,-0.046,0.046,0.2508
2019-01-25 16:00,7161.58,3.365,0.0005,7158.3,7148.83,7163.7,84391011,3.278,14.869,1.9551
2019-01-25 15:30,7158.21,-3.397,-0.0005,7161.64,7156.57,7167,28557942,-3.427,10.421,0.1798
2019-01-25 15:00,7161.61,9.351,0.0013,7152.27,7151,7166.3,24206249,9.339,15.299,-0.0034
2019-01-25 14:30,7152.26,-16.908,-0.0024,7169.16,7149.53,7174.43,24289702,-16.901,24.9,0.1384
2019-01-25 14:00,7169.17,3.097,0.0004,7166.07,7161.24,7170.93,21335885,3.097,9.698,-0.0889
2019-01-25 13:30,7166.07,4.673,0.0007,7161.4,7156.28,7167.69,23416857,4.673,11.414,-0.0908
2019-01-25 13:00,7161.4,-7.601,-0.0011,7169,7151,7174.56,25754096,-7.601,23.56,-0.0114
2019-01-25 12:30,7169,1.832,0.0003,7167.16,7157.15,7170.9,26050293,1.832,13.742,-0.0112
2019-01-25 12:00,7167.16,17.485,0.0024,7149.68,7149.59,7168.13,26346540,17.485,18.54,-0.1121
2019-01-25 11:30,7149.68,-4.447,-0.0006,7154.13,7146.54,7159.48,29673600,-4.447,12.943,-0.1917
2019-01-25 11:00,7154.13,9.076,0.0013,7144.78,7138.93,7156.55,36712022,9.348,17.621,-0.2082
2019-01-25 10:30,7145.05,9.961,0.0014,7134.75,7134.55,7148.36,46367476,10.298,13.806,-0.4839
2019-01-25 10:00,7135.09,61.627,0.0087,7128.19,7111.09,7135.19,89842373,6.904,24.101,12026.0914
2019-01-24 20:30,7073.46,0,0,7073.46,7073.46,7073.46,7470,0,0,-0.9299
2019-01-24 20:00,7073.46,0,0,7073.46,7073.46,7073.46,106538,0,0,0.6431
2019-01-24 19:30,7073.46,0,0,7073.46,7073.46,7073.46,64838,0,0,-0.2547
2019-01-24 19:00,7073.46,0,0,7073.46,7073.46,7073.46,86994,0,0,-0.824
2019-01-24 18:30,7073.46,0,0,7073.46,7073.46,7073.46,494325,0,0,0.0453
2019-01-24 18:00,7073.46,0,0,7073.46,7073.46,7073.46,472916,0,0,0.9779
2019-01-24 17:30,7073.46,0,0,7073.46,7073.46,7073.46,239101,0,0,-0.5587
2019-01-24 17:00,7073.46,0,0,7073.46,7073.46,7073.46,541856,0,0,-0.9945
2019-01-24 16:30,7073.46,2.17,0.0003,7071.29,7071.29,7073.46,98532023,2.17,2.17,0.2879
2019-01-24 16:00,7071.29,5.761,0.0008,7065.56,7060.33,7075.43,76508574,5.732,15.104,1.5454
2019-01-24 15:30,7065.53,7.689,0.0011,7057.71,7055.91,7071.28,30057575,7.823,15.364,0.0921
2019-01-24 15:00,7057.84,3.414,0.0005,7054.39,7049.18,7061.05,27521688,3.452,11.863,0.1849
2019-01-24 14:30,7054.43,6.977,0.001,7047.46,7042,7055.93,23226834,6.971,13.937,0.1557
2019-01-24 14:00,7047.45,9.636,0.0014,7037.83,7034.12,7048.77,20096872,9.625,14.641,-0.1184
2019-01-24 13:30,7037.82,-9.421,-0.0013,7047.19,7029.95,7049.38,22795037,-9.379,19.424,0.075
2019-01-24 13:00,7047.24,-13.125,-0.0019,7060.37,7043.27,7064.52,21204620,-13.134,21.249,-0.1247
2019-01-24 12:30,7060.36,-10.246,-0.0014,7070.53,7057.79,7070.53,24225116,-10.168,12.742,-0.1101
2019-01-24 12:00,7070.61,25.353,0.0036,7045.06,7041.71,7071.8,27221680,25.551,30.093,-0.1482
2019-01-24 11:30,7045.25,-2.358,-0.0003,7047.48,7030.01,7055.61,31958696,-2.226,25.598,-0.1024
2019-01-24 11:00,7047.61,-28.86,-0.0041,7076.53,7040.19,7078.17,35605968,-28.917,37.977,-0.2284
2019-01-24 10:30,7076.47,25.264,0.0036,7049.47,7041.81,7078.96,46146548,27.001,37.154,-0.48
2019-01-24 10:00,7051.21,25.441,0.0036,7042.25,7034.05,7064.38,88744691,8.956,30.325,58460.5883
2019-01-23 20:30,7025.77,0,0,7025.77,7025.77,7025.77,1518,0,0,-0.9739
2019-01-23 20:00,7025.77,0,0,7025.77,7025.77,7025.77,58147,0,0,-0.2978
2019-01-23 19:30,7025.77,0,0,7025.77,7025.77,7025.77,82810,0,0,0.59
2019-01-23 19:00,7025.77,0,0,7025.77,7025.77,7025.77,52083,0,0,-0.1465
2019-01-23 18:30,7025.77,0,0,7025.77,7025.77,7025.77,61025,0,0,-0.1376
2019-01-23 18:00,7025.77,0,0,7025.77,7025.77,7025.77,70762,0,0,-0.73
2019-01-23 17:30,7025.77,0,0,7025.77,7025.77,7025.77,262103,0,0,-0.0709
2019-01-23 17:00,7025.77,0,0,7025.77,7025.77,7025.77,282105,0,0,-0.9973
2019-01-23 16:30,7025.77,0.468,0.0001,7027.24,7025.77,7027.24,106305803,-1.477,1.477,0.434
2019-01-23 16:00,7025.3,3.554,0.0005,7021.83,7011.44,7026.35,74133608,3.471,14.905,1.7513
2019-01-23 15:30,7021.75,25.336,0.0036,6996.36,6995.33,7022.69,26944723,25.384,27.366,0.1664
