Date,Close,Lower Bound,Upper Bound,Middle Bound,sellSignal,buySignal
2018-01-11,1.5333506355140496,1.4804253400840255,1.5433232762327185,1.5118743081583719,0,0
2018-01-12,1.5491845920787215,1.4804253400840255,1.5433232762327185,1.5118743081583719,0,1
2018-01-16,1.541311496440338,1.4804253400840255,1.5491845920787215,1.5148049660813734,0,0
2018-01-17,1.5667681204977986,1.4804253400840255,1.5491845920787215,1.5148049660813734,0,1
2018-01-18,1.5681677280437476,1.4804253400840255,1.5667681204977986,1.5235967302909121,0,1
2018-01-19,1.561169422791279,1.4804253400840255,1.5681677280437476,1.5242965340638865,0,0
2018-01-22,1.548397290540565,1.4804253400840255,1.5681677280437476,1.5242965340638865,0,0
2018-01-23,1.5487471300050835,1.4804253400840255,1.5681677280437476,1.5242965340638865,0,0
2018-01-24,1.5240776648069942,1.4804253400840255,1.5681677280437476,1.5242965340638865,0,0
2018-01-25,1.496871326216343,1.4804253400840255,1.5681677280437476,1.5242965340638865,0,0
2018-01-26,1.5003704788425773,1.4804253400840255,1.5681677280437476,1.5242965340638865,0,0
2018-01-29,1.4693151570785972,1.4804253400840255,1.5681677280437476,1.5242965340638865,1,0
2018-01-30,1.460654768819481,1.4693151570785972,1.5681677280437476,1.5187414425611725,1,0
2018-01-31,1.4646787386057503,1.460654768819481,1.5681677280437476,1.5144112484316143,0,0
2018-02-01,1.467740571837132,1.460654768819481,1.5681677280437476,1.5144112484316143,0,0
2018-02-02,1.4040550666275593,1.460654768819481,1.5681677280437476,1.5144112484316143,1,0
2018-02-05,1.3689757750773102,1.4040550666275593,1.5681677280437476,1.4861113973356535,1,0
2018-02-06,1.42618738199294,1.3689757750773102,1.5681677280437476,1.4685717515605288,0,0
2018-02-07,1.3956568773889946,1.3689757750773102,1.5681677280437476,1.4685717515605288,0,0
2018-02-08,1.3572532860640893,1.3689757750773102,1.5681677280437476,1.4685717515605288,1,0
2018-02-09,1.3738545245498333,1.3572532860640893,1.5681677280437476,1.4627105070539184,0,0
2018-02-12,1.429191653251814,1.3572532860640893,1.5681677280437476,1.4627105070539184,0,0
2018-02-13,1.4435089789141888,1.3572532860640893,1.5681677280437476,1.4627105070539184,0,0
2018-02-14,1.470123414563368,1.3572532860640893,1.5681677280437476,1.4627105070539184,0,0
2018-02-15,1.5194877774530544,1.3572532860640893,1.5681677280437476,1.4627105070539184,0,0
2018-02-16,1.514568881737273,1.3572532860640893,1.561169422791279,1.4592113544276841,0,0
2018-02-20,1.509474321684321,1.3572532860640893,1.5487471300050835,1.4530002080345863,0,0
2018-02-21,1.5026231093422349,1.3572532860640893,1.5487471300050835,1.4530002080345863,0,0
2018-02-22,1.5151836400366907,1.3572532860640893,1.5240776648069942,1.4406654754355417,0,0
2018-02-23,1.5415346460607942,1.3572532860640893,1.5194877774530544,1.4383705317585718,0,1
2018-02-26,1.5720141251640904,1.3572532860640893,1.5415346460607942,1.4493939660624418,0,1
2018-02-27,1.5669196988724996,1.3572532860640893,1.5720141251640904,1.46463370561409,0,0
2018-02-28,1.56454787808244,1.3572532860640893,1.5720141251640904,1.46463370561409,0,0
2018-03-01,1.5371428860353111,1.3572532860640893,1.5720141251640904,1.46463370561409,0,0
